id,name english,description,desc english
bless_10016,Assassin's Creed,Blinks forward <font color='#83d18a'>{blink}</font> units when using Shadow Blade/Silver Edge and dispels debuffs. Backstab deals <font color='#83d18a'>{dmg}</font> bonus physical damage.,Blinks forward <font color='#83d18a'>{blink}</font> units when using Shadow Blade/Silver Edge and dispels debuffs. Backstab deals <font color='#83d18a'>{dmg}</font> bonus physical damage.
bless_10017,One Punch Man,Increases base damage of next attack by <font color='#83d18a'>{atk}%</font> every second (max <font color='#83d18a'>{max_stack}</font> stacks).,Increases base damage of next attack by <font color='#83d18a'>{atk}%</font> every second (max <font color='#83d18a'>{max_stack}</font> stacks).
bless_10018,Masochist,"Gain stacks when taking over <font color='#83d18a'>{dmg}</font> damage. At max stacks, gain <font color='#83d18a'>{hp_pct}%</font> Max HP shield and refresh base skills (CD: <font color='#83d18a'>{cd}</font>s).","Gain stacks when taking over <font color='#83d18a'>{dmg}</font> damage. At max stacks, gain <font color='#83d18a'>{hp_pct}%</font> Max HP shield and refresh base skills (CD: <font color='#83d18a'>{cd}</font>s)."
bless_10019,Tormentor,CCing an enemy hero grants a shield: <font color='#83d18a'>{base}</font> + <font color='#83d18a'>{hp_pct}%</font> Max HP (CD: <font color='#83d18a'>{cd}</font>s).,CCing an enemy hero grants a shield: <font color='#83d18a'>{base}</font> + <font color='#83d18a'>{hp_pct}%</font> Max HP (CD: <font color='#83d18a'>{cd}</font>s).
bless_10020,Tremor Fruit,"After applying hard CC to an enemy hero, deal <font color='#83d18a'>{base} + {hp_pct}% × your Max HP</font> damage around the target after <font color='#83d18a'>{delay}</font>s. <font color='#8e8e8e'>(CD: {cd}s)</font>","After applying hard CC to an enemy hero, deal <font color='#83d18a'>{base} + {hp_pct}% × your Max HP</font> damage around the target after <font color='#83d18a'>{delay}</font>s. <font color='#8e8e8e'>(CD: {cd}s)</font>"
bless_10021,Universal Pull,Continuously pulls enemy heroes within <font color='#83d18a'>{radius}</font> units. Reduces damage taken by <font color='#83d18a'>{dmg_income_pct}%</font> for each hero pulled.,Continuously pulls enemy heroes within <font color='#83d18a'>{radius}</font> units. Reduces damage taken by <font color='#83d18a'>{dmg_income_pct}%</font> for each hero pulled.
bless_10022,Spare Shield (Large),Gain shield of <font color='#83d18a'>{lv_factor}×Level</font> when out of combat for <font color='#83d18a'>{time}</font>s (CD: <font color='#83d18a'>{cd}</font>s).,Gain shield of <font color='#83d18a'>{lv_factor}×Level</font> when out of combat for <font color='#83d18a'>{time}</font>s (CD: <font color='#83d18a'>{cd}</font>s).
bless_10023,No R Key,"Damage Output +<font color='#83d18a'>{shI}%</font>, Cooldown Reduction <font color='#83d18a'>{lq}%</font>.<br>Penalty: Cannot use Ultimate.","Damage Output +<font color='#83d18a'>{shI}%</font>, Cooldown Reduction <font color='#83d18a'>{lq}%</font>.<br>Penalty: Cannot use Ultimate."
bless_10024,Blood Revenge,"For <font color='#83d18a'>{duration}</font>s after respawn, gain +<font color='#83d18a'>{value_pct}%</font> Total Damage, HP Regen, Spell Amp, and Move Speed.","For <font color='#83d18a'>{duration}</font>s after respawn, gain +<font color='#83d18a'>{value_pct}%</font> Total Damage, HP Regen, Spell Amp, and Move Speed."
bless_10025,Real Man,Immune to damage for <font color='#83d18a'>{duration}</font>s after casting Ultimate (CD: <font color='#83d18a'>{cd}</font>s).,Immune to damage for <font color='#83d18a'>{duration}</font>s after casting Ultimate (CD: <font color='#83d18a'>{cd}</font>s).
bless_10026,Enhanced Guardian Greaves,Nearby enemies deal <font color='#83d18a'>{dmg_pct}%</font> less damage for <font color='#83d18a'>{duration}</font>s when using Guardian Greaves.,Nearby enemies deal <font color='#83d18a'>{dmg_pct}%</font> less damage for <font color='#83d18a'>{duration}</font>s when using Guardian Greaves.
bless_10027,Glass Cannon,-<font color='#83d18a'>{smI}%</font> Max HP. Damage Output <font color='#83d18a'>{shI}%</font>.,-<font color='#83d18a'>{smI}%</font> Max HP. Damage Output <font color='#83d18a'>{shI}%</font>.
bless_10027a,Glass Cannon (SP: DMG Taken),"Damage <font color='#83d18a'>+{shI}%</font>. Max HP <font color='#83d18a'>-{smI}%</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Damage <font color='#83d18a'>+{shI}%</font>. Max HP <font color='#83d18a'>-{smI}%</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>."
bless_10028,Culling,Instantly execute heroes below <font color='#83d18a'>{hp_pct}%</font> HP and gain <font color='#83d18a'>{gold}</font> gold.,Instantly execute heroes below <font color='#83d18a'>{hp_pct}%</font> HP and gain <font color='#83d18a'>{gold}</font> gold.
bless_10029,Quick Respawn,Respawn time reduced by <font color='#83d18a'>{fhsj}</font>s.,Respawn time reduced by <font color='#83d18a'>{fhsj}</font>s.
bless_10029a,Cheap Life (SP: DMG Taken),"Respawn Time <font color='#83d18a'>{fhsj}</font>s, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Respawn Time <font color='#83d18a'>{fhsj}</font>s, DMG Taken <font color='#83d18a'>+{csshI}%</font>."
bless_10030,Overload,Next attack after spellcasting triggers an extra strike for <font color='#83d18a'>{dmg_pct}%</font> damage.,Next attack after spellcasting triggers an extra strike for <font color='#83d18a'>{dmg_pct}%</font> damage.
bless_10031,Fixed Interval,Attack Rate fixed to <font color='#83d18a'>{atk_rate}</font>s. Each 1 excess AS converts to <font color='#83d18a'>{atk_bonus}</font> Attack Damage.,Attack Rate fixed to <font color='#83d18a'>{atk_rate}</font>s. Each 1 excess AS converts to <font color='#83d18a'>{atk_bonus}</font> Attack Damage.
bless_10032,Fountain Member,Can shop and heal at Fountain from anywhere. +<font color='#83d18a'>{dmg_pct}%</font> Damage in Fountain range.,Can shop and heal at Fountain from anywhere. +<font color='#83d18a'>{dmg_pct}%</font> Damage in Fountain range.
bless_10033,Flashback,"Forced to return to original position <font color='#83d18a'>{delay}</font>s after Blink Dagger, refunding <font color='#83d18a'>{cd_reduce_pct}%</font> CD.","Forced to return to original position <font color='#83d18a'>{delay}</font>s after Blink Dagger, refunding <font color='#83d18a'>{cd_reduce_pct}%</font> CD."
bless_10034,Bounty,Marks an enemy every <font color='#83d18a'>{cd}</font>s. Grants bonus gold if they are killed while marked (Self: <font color='#83d18a'>{owner_gold}</font> / Allies: <font color='#83d18a'>{assist_gold}</font>).,Marks an enemy every <font color='#83d18a'>{cd}</font>s. Grants bonus gold if they are killed while marked (Self: <font color='#83d18a'>{owner_gold}</font> / Allies: <font color='#83d18a'>{assist_gold}</font>).
bless_10035,Soulstealer,Permanent <font color='#83d18a'>{bonus_kill}%</font> Spell Amp on hero kills (<font color='#83d18a'>{bonus_assist}%</font> on assists). Max: <font color='#83d18a'>{bonus_max}%</font>.,Permanent <font color='#83d18a'>{bonus_kill}%</font> Spell Amp on hero kills (<font color='#83d18a'>{bonus_assist}%</font> on assists). Max: <font color='#83d18a'>{bonus_max}%</font>.
bless_10036,Turtle,Gain <font color='#83d18a'>{gold}</font> Gold. Invisibility for <font color='#83d18a'>{duration}</font>s after staying still for <font color='#83d18a'>{stay_time}</font>s.,Gain <font color='#83d18a'>{gold}</font> Gold. Invisibility for <font color='#83d18a'>{duration}</font>s after staying still for <font color='#83d18a'>{stay_time}</font>s.
bless_10037,Thief,First stay within <font color='#83d18a'>{radius}</font> range of enemy fountain for <font color='#83d18a'>{duration}</font>s to gain <font color='#83d18a'>{count}</font> random orange blessings. <font color='#8e8e8e'>(Orange effect during stay)</font>,First stay within <font color='#83d18a'>{radius}</font> range of enemy fountain for <font color='#83d18a'>{duration}</font>s to gain <font color='#83d18a'>{count}</font> random orange blessings. <font color='#8e8e8e'>(Orange effect during stay)</font>
bless_10038,Blind Box,Gain <font color='#83d18a'>{count}</font> extra random blessings on pickup.,Gain <font color='#83d18a'>{count}</font> extra random blessings on pickup.
bless_10039,Long Long (Spell),+<font color='#83d18a'>{sfjl}</font> Cast Range.,+<font color='#83d18a'>{sfjl}</font> Cast Range.
bless_10039a,Philosopher's Stone (SP: Spell Amp),"Cast Range <font color='#83d18a'>+{sfjl}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","Cast Range <font color='#83d18a'>+{sfjl}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>."
bless_10039b,Philosopher's Stone (SP: MS),"Cast Range <font color='#83d18a'>+{sfjl}</font>, MS <font color='#83d18a'>-{ysI}%</font>.","Cast Range <font color='#83d18a'>+{sfjl}</font>, MS <font color='#83d18a'>-{ysI}%</font>."
bless_10040,Long (Ranged),+<font color='#83d18a'>{gjjl}</font> Attack Range (Ranged only).,+<font color='#83d18a'>{gjjl}</font> Attack Range (Ranged only).
bless_10040a,Visor (SP: DMG Taken),"Atk Range <font color='#83d18a'>+{gjjl}</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Atk Range <font color='#83d18a'>+{gjjl}</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>."
bless_10041,Long (Melee),Attack Range <font color='#83d18a'>+{gjjl}</font> (Melee only).,Attack Range <font color='#83d18a'>+{gjjl}</font> (Melee only).
bless_10041a,1-Inch Advantage (SP: Cast Range),"Atk Range <font color='#83d18a'>+{gjjl}</font>, Cast Range <font color='#83d18a'>-{sfjl}</font>.","Atk Range <font color='#83d18a'>+{gjjl}</font>, Cast Range <font color='#83d18a'>-{sfjl}</font>."
bless_10042,Health,"+<font color='#83d18a'>{sm}</font> Health, <font color='#83d18a'>-{shI}%</font> Damage Output.","+<font color='#83d18a'>{sm}</font> Health, <font color='#83d18a'>-{shI}%</font> Damage Output."
bless_10042a,HP (SP: MS),"HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ys}</font>.","HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ys}</font>."
bless_10042b,HP (SP: DMG),"HP <font color='#83d18a'>+{sm}</font>, Damage <font color='#83d18a'>-{gjl}</font>.","HP <font color='#83d18a'>+{sm}</font>, Damage <font color='#83d18a'>-{gjl}</font>."
bless_10042c,HP (SP: Spell Amp),"HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>."
bless_10042d,HP (SP: MP),"HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mf}</font>.","HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mf}</font>."
bless_10042e,HP (SP: AS),"HP <font color='#83d18a'>+{sm}</font>, AS <font color='#83d18a'>-{gs}</font>.","HP <font color='#83d18a'>+{sm}</font>, AS <font color='#83d18a'>-{gs}</font>."
bless_10043,Spell Amp,+<font color='#83d18a'>{jnzq}%</font> Spell Amp.,+<font color='#83d18a'>{jnzq}%</font> Spell Amp.
bless_10043a,Spell Amp (SP: MP),"Spell Amp <font color='#83d18a'>+{jnzq}%</font>, MP <font color='#83d18a'>-{mfI}%</font>.","Spell Amp <font color='#83d18a'>+{jnzq}%</font>, MP <font color='#83d18a'>-{mfI}%</font>."
bless_10044,Damage Bonus,+<font color='#83d18a'>{gjbI}%</font> Base Damage.,+<font color='#83d18a'>{gjbI}%</font> Base Damage.
bless_10044a,DMG Up (SP: AS),"Base DMG <font color='#83d18a'>+{gjbI}%</font>, AS <font color='#83d18a'>-{gs}</font>.","Base DMG <font color='#83d18a'>+{gjbI}%</font>, AS <font color='#83d18a'>-{gs}</font>."
bless_10045,Attack Speed Bonus,+<font color='#83d18a'>{gsI}%</font> Attack Speed.,+<font color='#83d18a'>{gsI}%</font> Attack Speed.
bless_10045a,AS Amp (SP: DMG),"AS <font color='#83d18a'>+{gsI}%</font>, Base DMG <font color='#83d18a'>-{gjbI}%</font>.","AS <font color='#83d18a'>+{gsI}%</font>, Base DMG <font color='#83d18a'>-{gjbI}%</font>."
bless_10046,Health Increase,"+<font color='#83d18a'>{sm}</font> Health, -<font color='#83d18a'>{shI}%</font> Damage Output.","+<font color='#83d18a'>{sm}</font> Health, -<font color='#83d18a'>{shI}%</font> Damage Output."
bless_10046a,HP Up (SP: MS),"HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ysI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ysI}%</font>."
bless_10046b,HP Up (SP: DMG),"HP <font color='#83d18a'>+{sm}</font>, Total DMG <font color='#83d18a'>-{gjI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Total DMG <font color='#83d18a'>-{gjI}%</font>."
bless_10046c,HP Up (SP: Spell Amp),"HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>."
bless_10046d,HP Up (SP: MP),"HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mfI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mfI}%</font>."
bless_10046e,HP Up (SP: AS),"HP <font color='#83d18a'>+{sm}</font>, AS <font color='#83d18a'>-{gsI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, AS <font color='#83d18a'>-{gsI}%</font>."
bless_10046f,HP Up (SP: AOE),"HP <font color='#83d18a'>+{sm}</font>, AOE <font color='#83d18a'>-{jnfwI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, AOE <font color='#83d18a'>-{jnfwI}%</font>."
bless_10047,Spell Amp,+<font color='#83d18a'>{jnzq}%</font> Spell Amp.,+<font color='#83d18a'>{jnzq}%</font> Spell Amp.
bless_10047a,Spell Amp (SP: Cast Range),"Spell Amp <font color='#83d18a'>+{jnzq}%</font>, Cast Range <font color='#83d18a'>-{sfjl}</font>.","Spell Amp <font color='#83d18a'>+{jnzq}%</font>, Cast Range <font color='#83d18a'>-{sfjl}</font>."
bless_10048,Damage Bonus,+<font color='#83d18a'>{gjbI}%</font> Base Damage.,+<font color='#83d18a'>{gjbI}%</font> Base Damage.
bless_10048a,DMG Amp (SP: Spell Amp),"Base DMG <font color='#83d18a'>+{gjbI}%</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","Base DMG <font color='#83d18a'>+{gjbI}%</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>."
bless_10049,AS & Lifesteal,"+<font color='#83d18a'>{gsI}%</font> Attack Speed, +<font color='#83d18a'>{xx}%</font> Lifesteal.","+<font color='#83d18a'>{gsI}%</font> Attack Speed, +<font color='#83d18a'>{xx}%</font> Lifesteal."
bless_10049a,AS & Lifesteal (SP: Armor),"AS <font color='#83d18a'>+{gsI}%</font>, Lifesteal <font color='#83d18a'>+{xx}%</font>, Armor <font color='#83d18a'>-{hj}</font>.","AS <font color='#83d18a'>+{gsI}%</font>, Lifesteal <font color='#83d18a'>+{xx}%</font>, Armor <font color='#83d18a'>-{hj}</font>."
bless_10050,Long Long (Ranged),+<font color='#83d18a'>{gjjl}</font> Attack Range (Ranged only).,+<font color='#83d18a'>{gjjl}</font> Attack Range (Ranged only).
bless_10050a,Tactical Visor (SP: DMG),ttack Range <font color='#83d18a'>+{gjjl}</font>，Base Attack Damage <font color='#83d18a'>-{gjI}%</font>,ttack Range <font color='#83d18a'>+{gjjl}</font>，Base Attack Damage <font color='#83d18a'>-{gjI}%</font>
bless_10051,Long Long (Melee),+<font color='#83d18a'>{gjjl}</font> Attack Range (Melee only).,+<font color='#83d18a'>{gjjl}</font> Attack Range (Melee only).
bless_10051a,2-Inch Advantage (SP: AOE),"Atk Range <font color='#83d18a'>+{gjjl}</font>, AOE <font color='#83d18a'>-{jnfwI}%</font>.","Atk Range <font color='#83d18a'>+{gjjl}</font>, AOE <font color='#83d18a'>-{jnfwI}%</font>."
bless_10052,Cooldown Reduction,<font color='#83d18a'>{lq}%</font> Cooldown Reduction.,<font color='#83d18a'>{lq}%</font> Cooldown Reduction.
bless_10052a,CDR (SP: DMG),"CDR <font color='#83d18a'>+{lq}%</font>, Damage <font color='#83d18a'>-{shI}%</font>.","CDR <font color='#83d18a'>+{lq}%</font>, Damage <font color='#83d18a'>-{shI}%</font>."
bless_10052b,CDR (SP: DMG Taken),"CDR <font color='#83d18a'>+{lq}%</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","CDR <font color='#83d18a'>+{lq}%</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>."
bless_10053,Charged Shield,"Gain <font color='#83d18a'>{hp_pct}%</font> Max HP shield (CD: <font color='#83d18a'>{cd}</font>s, scales with CDR).","Gain <font color='#83d18a'>{hp_pct}%</font> Max HP shield (CD: <font color='#83d18a'>{cd}</font>s, scales with CDR)."
bless_10054,Fountain's Blessing,Gain <font color='#83d18a'>50%</font> HP shield after respawn. +<font color='#83d18a'>{dmg}%</font> Damage Output while shield holds.,Gain <font color='#83d18a'>50%</font> HP shield after respawn. +<font color='#83d18a'>{dmg}%</font> Damage Output while shield holds.
bless_10055,Spare Shield (Small),Gain <font color='#83d18a'>{hp_pct}%</font> HP shield after <font color='#83d18a'>{check_time}</font>s without taking damage (limit {interval_active_time} times per <font color='#83d18a'>{interval}</font>s).,Gain <font color='#83d18a'>{hp_pct}%</font> HP shield after <font color='#83d18a'>{check_time}</font>s without taking damage (limit {interval_active_time} times per <font color='#83d18a'>{interval}</font>s).
bless_10056,Fountain's Guard,Gain <font color='#83d18a'>{hp_pct}%</font> HP shield upon respawn. Shield increases by <font color='#83d18a'>1%</font> for every <font color='#83d18a'>{bonus_pct_per_amp}%</font> Spell Amp.,Gain <font color='#83d18a'>{hp_pct}%</font> HP shield upon respawn. Shield increases by <font color='#83d18a'>1%</font> for every <font color='#83d18a'>{bonus_pct_per_amp}%</font> Spell Amp.
bless_10057,Attribute Shift (Str-Int),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Strength to gain <font color='#83d18a'>{rate}</font>x that amount as Intelligence.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Strength to gain <font color='#83d18a'>{rate}</font>x that amount as Intelligence.
bless_10058,Attribute Shift (Str-Agi),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Strength to gain <font color='#83d18a'>{rate}</font>x that amount as Agility.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Strength to gain <font color='#83d18a'>{rate}</font>x that amount as Agility.
bless_10059,Attribute Shift (Int-Agi),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Intelligence to gain <font color='#83d18a'>{rate}</font>x that amount as Agility.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Intelligence to gain <font color='#83d18a'>{rate}</font>x that amount as Agility.
bless_10060,Attribute Shift (Int-Str),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Intelligence to gain <font color='#83d18a'>{rate}</font>x that amount as Strength.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Intelligence to gain <font color='#83d18a'>{rate}</font>x that amount as Strength.
bless_10061,Attribute Shift (Agi-Int),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Agility to gain <font color='#83d18a'>{rate}</font>x that amount as Intelligence.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Agility to gain <font color='#83d18a'>{rate}</font>x that amount as Intelligence.
bless_10062,Attribute Shift (Agi-Str),Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Agility to gain <font color='#83d18a'>{rate}</font>x that amount as Strength.,Sacrifice <font color='#83d18a'>{lose_pct}%</font> Base Agility to gain <font color='#83d18a'>{rate}</font>x that amount as Strength.
bless_10063,Wait for Max Level,Gain <font color='#83d18a'>{amp}%</font> permanent Spell Amp per level.,Gain <font color='#83d18a'>{amp}%</font> permanent Spell Amp per level.
bless_10064,Sharpening,Gain <font color='#83d18a'>{atkp}%</font> permanent Base Damage per level.,Gain <font color='#83d18a'>{atkp}%</font> permanent Base Damage per level.
bless_10065,Periodic Shock,Stuns nearby enemies for <font color='#83d18a'>{stun}</font>s every <font color='#83d18a'>{interval}</font>s within <font color='#83d18a'>{radius}</font> range.,Stuns nearby enemies for <font color='#83d18a'>{stun}</font>s every <font color='#83d18a'>{interval}</font>s within <font color='#83d18a'>{radius}</font> range.
bless_10066,Sadist,"After CCing an enemy, gain <font color='#83d18a'>{pct}%</font> Base Damage and Spell Amp for <font color='#83d18a'>{duration}</font>s(Max <font color='#83d18a'>{max}</font> stacks).","After CCing an enemy, gain <font color='#83d18a'>{pct}%</font> Base Damage and Spell Amp for <font color='#83d18a'>{duration}</font>s(Max <font color='#83d18a'>{max}</font> stacks)."
bless_10067,Escape Master,"When HP falls below <font color='#83d18a'>{trigger_pct}%</font>, gain <font color='#83d18a'>{hp_pct}%</font> HP shield and <font color='#83d18a'>{msp}</font> Move Speed (CD: <font color='#83d18a'>{interval}</font>s).","When HP falls below <font color='#83d18a'>{trigger_pct}%</font>, gain <font color='#83d18a'>{hp_pct}%</font> HP shield and <font color='#83d18a'>{msp}</font> Move Speed (CD: <font color='#83d18a'>{interval}</font>s)."
bless_10068,Pacifist,Damage Output <font color='#83d18a'>-{shI}%</font>. Removed after dying <font color='#83d18a'>{times}</font> times to gain <font color='#ff910a'>[Blood Revenge]</font> .,Damage Output <font color='#83d18a'>-{shI}%</font>. Removed after dying <font color='#83d18a'>{times}</font> times to gain <font color='#ff910a'>[Blood Revenge]</font> .
bless_10069,Giant,"Size +<font color='#83d18a'>{mxI}%</font>. Gain <font color='#83d18a'>{smI}%</font> Health, <font color='#83d18a'>{mk}%</font> Magic Res, and <font color='#83d18a'>{hj}</font> Armor.","Size +<font color='#83d18a'>{mxI}%</font>. Gain <font color='#83d18a'>{smI}%</font> Health, <font color='#83d18a'>{mk}%</font> Magic Res, and <font color='#83d18a'>{hj}</font> Armor."
